gene,community
RNASEH2B,BrC4
RNASET2,BrC4
RND2,BrC4
RNF208,BrC4
RNF215,BrC4
RNPEP,BrC4
ROGDI,BrC4
RP9,BrC4
RPP30,BrC4
RRNAD1,BrC4
RSG1,BrC4
RWDD3,BrC4
SALL2,BrC4
SARS2,BrC4
SCNN1D,BrC4
SDR39U1,BrC4
SF3A2,BrC4
SFI1,BrC4
SFT2D1,BrC4
SGF29,BrC4
SGSM1,BrC4
SHF,BrC4
SIGIRR,BrC4
SIRT3,BrC4
SIRT4,BrC4
SIRT6,BrC4
SIRT7,BrC4
SIX5,BrC4
SLAIN1,BrC4
SLC12A9,BrC4
SLC16A13,BrC4
SLC16A4,BrC4
SLC20A2,BrC4
SLC22A17,BrC4
SLC25A26,BrC4
SLC25A45,BrC4
SLC35C2,BrC4
SLC35D2,BrC4
SLC37A4,BrC4
SLC41A3,BrC4
SLC7A6OS,BrC4
SMARCAL1,BrC4
SMIM10L2B,BrC4
SMIM8,BrC4
SMS,BrC4
SNAP47,BrC4
SNRNP35,BrC4
SNRNP40,BrC4
SNRPN,BrC4
SNX12,BrC4
SOX12,BrC4
SOX15,BrC4
SPACA9,BrC4
SPAG8,BrC4
SPATA20,BrC4
SPATA2L,BrC4
SPATA33,BrC4
SPEF1,BrC4
SPIN2B,BrC4
SPIRE2,BrC4
SPOUT1,BrC4
SPSB3,BrC4
SPTBN5,BrC4
SSH3,BrC4
STARD3,BrC4
STARD5,BrC4
STK19,BrC4
STK25,BrC4
STKLD1,BrC4
STMN3,BrC4
STPG2,BrC4
STX10,BrC4
STX11,BrC4
STX5,BrC4
SUGP1,BrC4
SYCE2,BrC4
SYNGR1,BrC4
TAB1,BrC4
TAF6,BrC4
TAMM41,BrC4
TAPBPL,BrC4
TARBP2,BrC4
TARS2,BrC4
TBC1D7,BrC4
TBL3,BrC4
TBX6,BrC4
TCEA2,BrC4
TCEA3,BrC4
TCEAL1,BrC4
TCEAL3,BrC4
TCEAL7,BrC4
TCEAL8,BrC4
TCF19,BrC4
TCTN2,BrC4
TDRKH,BrC4
TEFM,BrC4
TEKT2,BrC4
TELO2,BrC4
TEX22,BrC4
TFAP4,BrC4
TFB1M,BrC4
THAP10,BrC4
THNSL2,BrC4
THOC3,BrC4
THOC6,BrC4
THTPA,BrC4
TIGD6,BrC4
TIMM29,BrC4
TM9SF1,BrC4
TMED4,BrC4
TMEM107,BrC4
TMEM128,BrC4
TMEM132A,BrC4
TMEM14A,BrC4
TMEM159,BrC4
TMEM161A,BrC4
TMEM175,BrC4
TMEM18,BrC4
TMEM200C,BrC4
TMEM231,BrC4
TMEM234,BrC4
TMEM242,BrC4
TMEM42,BrC4
TMEM51,BrC4
TMEM55B,BrC4
TMEM79,BrC4
TMEM80,BrC4
TMEM8B,BrC4
TMEM91,BrC4
TMEM98,BrC4
TMLHE,BrC4
TMUB2,BrC4
TNK2,BrC4
TOLLIP,BrC4
TOMM34,BrC4
TOR2A,BrC4
TOR3A,BrC4
TOX3,BrC4
TPBG,BrC4
TPM1,BrC4
TPMT,BrC4
TPRA1,BrC4
TRAIP,BrC4
TRAPPC12,BrC4
TRAPPC9,BrC4
TRIM28,BrC4
TRIM34,BrC4
TRIM6,BrC4
TRIM74,BrC4
TRIP6,BrC4
TRMT44,BrC4
TRPM4,BrC4
TSC22D4,BrC4
TSEN54,BrC4
TSNARE1,BrC4
TSNAXIP1,BrC4
TSPAN10,BrC4
TSPOAP1,BrC4
TTC12,BrC4
TTC19,BrC4
TTC30B,BrC4
TTC4,BrC4
TTC5,BrC4
UBAC1,BrC4
UBAC2,BrC4
UBTF,BrC4
UBXN10,BrC4
UCN2,BrC4
UFSP2,BrC4
UNC119,BrC4
UNC45A,BrC4
UNK,BrC4
USP21,BrC4
VAMP2,BrC4
VILL,BrC4
VIPAS39,BrC4
VMAC,BrC4
VPS37C,BrC4
VRK3,BrC4
VWA5A,BrC4
VWA7,BrC4
WBP1,BrC4
WDR24,BrC4
WDR73,BrC4
WDR78,BrC4
WDR83,BrC4
WDR97,BrC4
WDSUB1,BrC4
WRAP53,BrC4
WRB,BrC4
WRNIP1,BrC4
WWOX,BrC4
WWP2,BrC4
XAB2,BrC4
XKR8,BrC4
XRCC1,BrC4
YIPF3,BrC4
ZBTB22,BrC4
ZBTB45,BrC4
ZBTB48,BrC4
ZCWPW1,BrC4
ZDHHC1,BrC4
ZFAND2B,BrC4
ZFP64,BrC4
ZFYVE19,BrC4
ZGLP1,BrC4
ZNF16,BrC4
ZNF174,BrC4
ZNF180,BrC4
ZNF20,BrC4
ZNF205,BrC4
ZNF213,BrC4
ZNF282,BrC4
ZNF30,BrC4
ZNF329,BrC4
ZNF346,BrC4
ZNF385C,BrC4
ZNF394,BrC4
ZNF408,BrC4
ZNF415,BrC4
ZNF416,BrC4
ZNF443,BrC4
ZNF444,BrC4
ZNF446,BrC4
ZNF48,BrC4
ZNF530,BrC4
ZNF554,BrC4
ZNF563,BrC4
ZNF564,BrC4
ZNF57,BrC4
ZNF574,BrC4
ZNF576,BrC4
ZNF599,BrC4
ZNF610,BrC4
ZNF627,BrC4
ZNF628,BrC4
ZNF653,BrC4
ZNF672,BrC4
ZNF688,BrC4
ZNF692,BrC4
ZNF768,BrC4
ZNF77,BrC4
ZNF775,BrC4
ZNF777,BrC4
ZNF784,BrC4
ZNF786,BrC4
ZNF821,BrC4
ZNF830,BrC4
ZNF837,BrC4
ZNF843,BrC4
ZNF844,BrC4
ZNF853,BrC4
ZSCAN18,BrC4
ZSCAN21,BrC4
ZSWIM5,BrC4
ZSWIM7,BrC4
AACS,BrC8
ABCD1,BrC8
ABCD2,BrC8
ABHD15,BrC8
ABHD5,BrC8
ACAA2,BrC8
ACACB,BrC8
ACADS,BrC8
ACAT1,BrC8
ACER3,BrC8
ACO1,BrC8
ACO2,BrC8
ACOT2,BrC8
ACOX1,BrC8
ACSL1,BrC8
ACSM5,BrC8
ACSS2,BrC8
ACSS3,BrC8
ACVR1C,BrC8
ADCY5,BrC8
ADH1B,BrC8
ADIPOQ,BrC8
ADRA1A,BrC8
AGPAT2,BrC8
AIFM2,BrC8
AKR1C2,BrC8
ALDH1L1,BrC8
ALDH2,BrC8
ALDH4A1,BrC8
ALDH6A1,BrC8
ALPK3,BrC8
ANKEF1,BrC8
ANKRD40,BrC8
ANKRD53,BrC8
ANTXR2,BrC8
ANXA5,BrC8
ANXA6,BrC8
AOC2,BrC8
AOC3,BrC8
AP1M1,BrC8
APBB1IP,BrC8
APMAP,BrC8
APOB,BrC8
APOL6,BrC8
APOPT1,BrC8
AQP7,BrC8
ASPH,BrC8
ASS1,BrC8
ATP5B,BrC8
ATP5G3,BrC8
ATP9A,BrC8
ATPAF1,BrC8
BANK1,BrC8
BCAP31,BrC8
BCL7B,BrC8
BHMT2,BrC8
BNIP3L,BrC8
BOK,BrC8
BTBD6,BrC8
BTD,BrC8
C14orf180,BrC8
C19orf12,BrC8
C1QTNF1,BrC8
C20orf27,BrC8
C2CD2,BrC8
C6orf106,BrC8
CABLES1,BrC8
CALB2,BrC8
CAMK1,BrC8
CAT,BrC8
CCDC107,BrC8
CCDC69,BrC8
CCDC92,BrC8
CD151,BrC8
CD248,BrC8
CD99L2,BrC8
CDKN2B,BrC8
CDO1,BrC8
CEBPA,BrC8
CES1,BrC8
CHCHD10,BrC8
CHP1,BrC8
CIDEA,BrC8
CIDEC,BrC8
CKB,BrC8
CLMP,BrC8
CNTFR,BrC8
COQ8A,BrC8
COX14,BrC8
CPM,BrC8
CRAT,BrC8
CRK,BrC8
CRLS1,BrC8
CS,BrC8
CSPG4,BrC8
CTIF,BrC8
CYB5A,BrC8
DECR1,BrC8
DGAT1,BrC8
DGAT2,BrC8
DHDDS,BrC8
DHRS3,BrC8
DLAT,BrC8
DLD,BrC8
